2020-11-23 12:45:31,715 | DEBUG | Alabama
2020-11-23 12:45:31,715 | DEBUG | Alaska
2020-11-23 12:45:31,715 | DEBUG | Arizona
2020-11-23 12:45:31,715 | DEBUG | Arkansas
2020-11-23 12:45:31,715 | DEBUG | California
2020-11-23 12:45:31,715 | DEBUG | Colorado
2020-11-23 12:45:31,715 | DEBUG | Connecticut
2020-11-23 12:45:31,716 | DEBUG | Delaware
2020-11-23 12:45:31,716 | DEBUG | District of Columbia
2020-11-23 12:45:31,716 | DEBUG | Florida
2020-11-23 12:45:31,716 | DEBUG | Georgia
2020-11-23 12:45:31,716 | DEBUG | Hawaii
2020-11-23 12:45:31,716 | DEBUG | Idaho
2020-11-23 12:45:31,716 | DEBUG | Illinois
2020-11-23 12:45:31,717 | DEBUG | Indiana
2020-11-23 12:45:31,717 | DEBUG | Iowa
2020-11-23 12:45:31,717 | DEBUG | Kansas
2020-11-23 12:45:31,717 | DEBUG | Kentucky
2020-11-23 12:45:31,717 | DEBUG | Louisiana
2020-11-23 12:45:31,717 | DEBUG | Maine
2020-11-23 12:45:31,717 | DEBUG | Maryland
2020-11-23 12:45:31,717 | DEBUG | Massachusetts
2020-11-23 12:45:31,717 | DEBUG | Michigan
2020-11-23 12:45:31,717 | DEBUG | Minnesota
2020-11-23 12:45:31,717 | DEBUG | Mississippi
2020-11-23 12:45:31,717 | DEBUG | Missouri
2020-11-23 12:45:31,717 | DEBUG | Montana
2020-11-23 12:45:31,717 | DEBUG | Nebraska
2020-11-23 12:45:31,717 | DEBUG | Nevada
2020-11-23 12:45:31,717 | DEBUG | New Hampshire
2020-11-23 12:45:31,717 | DEBUG | New Jersey
2020-11-23 12:45:31,717 | DEBUG | New Mexico
2020-11-23 12:45:31,718 | DEBUG | New York
2020-11-23 12:45:31,718 | DEBUG | North Carolina
2020-11-23 12:45:31,718 | DEBUG | North Dakota
2020-11-23 12:45:31,718 | DEBUG | Ohio
2020-11-23 12:45:31,718 | DEBUG | Oklahoma
2020-11-23 12:45:31,718 | DEBUG | Oregon
2020-11-23 12:45:31,718 | DEBUG | Pennsylvania
2020-11-23 12:45:31,718 | DEBUG | Rhode Island
2020-11-23 12:45:31,718 | DEBUG | South Carolina
2020-11-23 12:45:31,718 | DEBUG | South Dakota
2020-11-23 12:45:31,718 | DEBUG | Tennessee
2020-11-23 12:45:31,718 | DEBUG | Texas
2020-11-23 12:45:31,718 | DEBUG | Utah
2020-11-23 12:45:31,718 | DEBUG | Vermont
2020-11-23 12:45:31,718 | DEBUG | Virginia
2020-11-23 12:45:31,718 | DEBUG | Washington
2020-11-23 12:45:31,718 | DEBUG | West Virginia
2020-11-23 12:45:31,718 | DEBUG | Wisconsin
2020-11-23 12:45:31,718 | DEBUG | Wyoming
2020-11-23 12:45:31,718 | DEBUG | ---------------------------------------------------------------------------------------------------------------------
2020-11-23 12:45:31,720 | DEBUG | AK
2020-11-23 12:45:31,720 | DEBUG | AL
2020-11-23 12:45:31,720 | DEBUG | AR
2020-11-23 12:45:31,720 | DEBUG | AZ
2020-11-23 12:45:31,720 | DEBUG | CA
2020-11-23 12:45:31,720 | DEBUG | CO
2020-11-23 12:45:31,720 | DEBUG | CT
2020-11-23 12:45:31,720 | DEBUG | DC
2020-11-23 12:45:31,720 | DEBUG | DE
2020-11-23 12:45:31,720 | DEBUG | FL
2020-11-23 12:45:31,720 | DEBUG | GA
2020-11-23 12:45:31,720 | DEBUG | HI
2020-11-23 12:45:31,720 | DEBUG | IA
2020-11-23 12:45:31,720 | DEBUG | ID
2020-11-23 12:45:31,720 | DEBUG | IL
2020-11-23 12:45:31,720 | DEBUG | IN
2020-11-23 12:45:31,720 | DEBUG | KS
2020-11-23 12:45:31,720 | DEBUG | KY
2020-11-23 12:45:31,720 | DEBUG | LA
2020-11-23 12:45:31,720 | DEBUG | MA
2020-11-23 12:45:31,720 | DEBUG | MD
2020-11-23 12:45:31,720 | DEBUG | ME
2020-11-23 12:45:31,720 | DEBUG | MI
2020-11-23 12:45:31,721 | DEBUG | MN
2020-11-23 12:45:31,721 | DEBUG | MO
2020-11-23 12:45:31,721 | DEBUG | MS
2020-11-23 12:45:31,721 | DEBUG | MT
2020-11-23 12:45:31,721 | DEBUG | NC
2020-11-23 12:45:31,721 | DEBUG | ND
2020-11-23 12:45:31,721 | DEBUG | NE
2020-11-23 12:45:31,721 | DEBUG | NH
2020-11-23 12:45:31,721 | DEBUG | NJ
2020-11-23 12:45:31,721 | DEBUG | NM
2020-11-23 12:45:31,721 | DEBUG | NV
2020-11-23 12:45:31,721 | DEBUG | NY
2020-11-23 12:45:31,721 | DEBUG | OH
2020-11-23 12:45:31,721 | DEBUG | OK
2020-11-23 12:45:31,721 | DEBUG | OR
2020-11-23 12:45:31,721 | DEBUG | PA
2020-11-23 12:45:31,721 | DEBUG | RI
2020-11-23 12:45:31,721 | DEBUG | SC
2020-11-23 12:45:31,721 | DEBUG | SD
2020-11-23 12:45:31,721 | DEBUG | TN
2020-11-23 12:45:31,721 | DEBUG | TX
2020-11-23 12:45:31,721 | DEBUG | UT
2020-11-23 12:45:31,721 | DEBUG | VA
2020-11-23 12:45:31,721 | DEBUG | VT
2020-11-23 12:45:31,722 | DEBUG | WA
2020-11-23 12:45:31,722 | DEBUG | WI
2020-11-23 12:45:31,722 | DEBUG | WV
2020-11-23 12:45:31,722 | DEBUG | WY
2020-11-23 12:45:31,722 | DEBUG | ---------------------------------------------------------------------------------------------------------------------
2020-11-23 12:45:31,723 | DEBUG | 1876.61
2020-11-23 12:45:31,723 | DEBUG | 186.56
2020-11-23 12:45:31,723 | DEBUG | 173.05
2020-11-23 12:45:31,723 | DEBUG | 139.00
2020-11-23 12:45:31,723 | DEBUG | 118.65
2020-11-23 12:45:31,723 | DEBUG | 94.63
2020-11-23 12:45:31,723 | DEBUG | 80.43
